Frame No,x,y
1,431,358
2,431,358
3,433,358
4,437,358
5,439,358
6,441,356
7,445,356
8,447,356
9,449,356
10,455,354
11,457,354
12,461,354
13,465,352
14,469,352
15,473,350
16,475,348
17,477,346
18,481,346
19,485,344
20,489,342
21,491,340
22,493,338
23,497,338
24,499,336
25,501,332
26,505,332
27,509,332
28,511,330
29,513,328
30,517,326
31,519,326
32,519,324
33,521,324
34,525,322
35,527,320
36,527,320
37,529,318
38,533,316
39,535,316
40,535,316
41,537,316
42,541,314
43,543,312
44,543,312
45,543,312
46,543,312
47,545,310
48,547,308
49,547,308
50,547,308
51,549,308
52,551,306
53,551,304
54,551,306
55,553,306
56,555,304
57,555,304
58,557,304
59,561,304
60,563,304
61,563,304
62,563,302
63,563,302
64,565,304
65,567,304
66,567,302
67,567,302
68,569,302
69,571,304
70,571,302
71,573,302
72,575,302
73,575,302
74,577,302
75,581,302
76,583,300
77,583,302
78,585,302
79,589,302
80,591,300
81,591,300
82,593,300
83,599,300
84,599,300
85,599,298
86,601,298
87,603,298
88,601,298
89,601,296
90,601,296
91,599,298
92,599,298
93,599,298
94,601,298
95,603,300
96,603,302
97,605,304
98,609,304
99,611,304
100,611,306
101,615,308
102,617,308
103,623,306
104,623,306
105,625,308
106,629,308
107,633,308
108,635,306
109,635,306
110,637,310
111,639,310
112,641,310
113,643,308
114,641,310
115,645,312
116,649,310
117,649,308
118,651,308
119,651,310
120,653,312
121,659,312
122,659,310
123,661,312
124,665,314
125,667,314
126,667,312
127,667,312
128,667,312
129,667,312
130,669,312
131,671,310
132,669,310
133,671,310
134,671,310
135,671,308
136,671,306
137,671,306
138,671,308
139,671,304
140,671,302
141,671,302
142,669,302
143,671,300
144,669,298
145,669,298
146,669,298
147,669,298
148,669,296
149,669,294
150,667,294
151,665,294
152,667,294
153,665,290
154,665,290
155,665,290
156,667,290
157,663,286
158,665,284
159,665,280
160,667,280
161,665,280
162,667,278
163,665,274
164,667,274
165,665,274
166,667,272
167,665,268
168,665,266
169,665,268
170,665,266
171,665,264
172,665,260
173,665,258
174,665,258
175,665,256
176,665,252
177,665,250
178,665,248
179,665,248
180,667,246
181,665,242
182,665,240
183,665,240
184,663,238
185,659,236
186,657,234
187,657,232
188,657,230
189,657,230
190,657,228
191,657,224
192,657,226
193,657,224
194,657,222
195,657,220
196,655,220
197,653,220
198,653,220
199,653,218
200,653,216
201,651,218
202,649,218
203,651,216
204,649,214
205,649,214
206,649,216
207,647,216
208,645,216
209,645,214
210,643,216
211,639,218
212,637,218
213,637,218
214,633,218
215,631,220
216,627,222
217,625,222
218,623,222
219,617,224
220,615,228
221,609,230
222,607,230
223,601,232
224,599,234
225,593,236
226,593,238
227,591,240
228,587,240
229,583,244
230,581,248
231,581,248
232,577,250
233,575,252
234,569,256
235,569,258
236,565,260
237,563,262
238,557,266
239,557,270
240,553,272
241,551,272
242,547,274
243,545,280
244,545,284
245,545,284
246,543,286
247,537,290
248,533,294
249,529,298
250,525,300
251,521,302
252,517,308
253,513,314
254,511,316
255,507,320
256,505,324
257,505,330
258,505,334
259,505,336
260,505,340
261,503,348
262,501,352
263,503,356
264,503,358
265,501,362
266,503,368
267,501,372
268,503,376
269,501,378
270,503,382
271,501,386
272,505,390
273,507,390
274,507,392
275,509,396
276,513,400
277,517,400
278,521,400
279,525,402
280,529,404
281,533,404
